[sound:ice_age_0002.mp4] <br> [...] not call it <br> the Big Chill or the Nippy era? ; Why not call it <br> the Big Chill or the Nippy era?; ice_age
[sound:ice_age_0003.mp4] <br> [...] just sayin', <br> how do we know it's an Ice age? ; I'm just sayin', <br> how do we know it's an Ice age?; ice_age
[sound:ice_age_0004.mp4] <br> [...] of all the ice. ; Because of all the ice.; ice_age
[sound:ice_age_0005.mp4] <br> Well, [...] just got a little chillier. ; Well, things just got a little chillier.; ice_age
[sound:ice_age_0006.mp4] <br> [...] Help. ; Help. Help.; ice_age
[sound:ice_age_0007.mp4] <br> [...] on, kids, let's go. The traffic's movin'. ; Come on, kids, let's go. The traffic's movin'.; ice_age
[sound:ice_age_0008.mp4] <br> [...] but, but, Dad. ; But, but, but, Dad.; ice_age
[sound:ice_age_0009.mp4] <br> No [...] You can play extinction later. ; No buts. You can play extinction later.; ice_age
[sound:ice_age_0010.mp4] <br> OK. [...] on, guys. ; OK. Come on, guys.; ice_age
[sound:ice_age_0011.mp4] <br> So, [...] Eddie? ; So, where's Eddie?; ice_age
[sound:ice_age_0012.mp4] <br> He [...] he was on the verge <br> of an evolutionary breakthrough. ; He said he was on the verge <br> of an evolutionary breakthrough.; ice_age
[sound:ice_age_0013.mp4] <br> [...] ; Really?; ice_age
[sound:ice_age_0014.mp4] <br> I'm [...] ; I'm flying.; ice_age
[sound:ice_age_0015.mp4] <br> [...] breakthrough. ; Some breakthrough.; ice_age
[sound:ice_age_0016.mp4] <br> - [...] out. <br> - You're going the wrong way. ; - Look out. <br> - You're going the wrong way.; ice_age
[sound:ice_age_0017.mp4] <br> [...] mammoth. ; Crazy mammoth.; ice_age
[sound:ice_age_0018.mp4] <br> [...] the world a favour. <br> Move your issues off the road. ; Do the world a favour. <br> Move your issues off the road.; ice_age
[sound:ice_age_0019.mp4] <br> [...] my trunk was that small, <br> I wouldn't draw attention to myself, pal. ; If my trunk was that small, <br> I wouldn't draw attention to myself, pal.; ice_age
[sound:ice_age_0020.mp4] <br> [...] me a break. <br> We've been waddlin' all day. ; Give me a break. <br> We've been waddlin' all day.; ice_age
[sound:ice_age_0021.mp4] <br> Go [...] Follow the crowd. ; Go ahead. Follow the crowd.; ice_age
[sound:ice_age_0022.mp4] <br> [...] be quieter when you're gone. ; It'll be quieter when you're gone.; ice_age
[sound:ice_age_0023.mp4] <br> Come on. If he [...] to <br> freeze to death, let him. ; Come on. If he wants to <br> freeze to death, let him.; ice_age
[sound:ice_age_0024.mp4] <br> [...] up. I'm up. ; I'm up. I'm up.; ice_age
[sound:ice_age_0025.mp4] <br> [...] and shine, everybody. <br> Huh? Zak? Marshall? ; Rise and shine, everybody. <br> Huh? Zak? Marshall?; ice_age
[sound:ice_age_0026.mp4] <br> Bertie? [...] Fungus? ; Bertie? Uncle Fungus?; ice_age
[sound:ice_age_0027.mp4] <br> Where is [...] Come on, guys, <br> we're gonna miss the mi-- ; Where is everybody? Come on, guys, <br> we're gonna miss the mi--; ice_age
[sound:ice_age_0029.mp4] <br> They [...] without me. <br> They do this every year. ; They left without me. <br> They do this every year.; ice_age
[sound:ice_age_0030.mp4] <br> Why? [...] anyone love me? ; Why? Doesn't anyone love me?; ice_age
[sound:ice_age_0031.mp4] <br> [...] there anyone who cares <br> about Sid the Sloth? ; Isn't there anyone who cares <br> about Sid the Sloth?; ice_age
[sound:ice_age_0032.mp4] <br> All [...] I'll just go by myself. ; All right, I'll just go by myself.; ice_age
[sound:ice_age_0033.mp4] <br> [...] ; Sick.; ice_age
[sound:ice_age_0034.mp4] <br> [...] body, kerb it next time. ; Wide body, kerb it next time.; ice_age
[sound:ice_age_0035.mp4] <br> Oh, [...] Yuck. ; Oh, jeez. Yuck.; ice_age
[sound:ice_age_0036.mp4] <br> I [...] believe it. Fresh wild greens. <br> Frank, where did you ever? ; I can't believe it. Fresh wild greens. <br> Frank, where did you ever?; ice_age
[sound:ice_age_0037.mp4] <br> - Go [...] Dig in. <br> - A dandelion. ; - Go ahead. Dig in. <br> - A dandelion.; ice_age
[sound:ice_age_0038.mp4] <br> - I [...] the frost wiped 'em all out. <br> - All but one. ; - I thought the frost wiped 'em all out. <br> - All but one.; ice_age
[sound:ice_age_0039.mp4] <br> It [...] me so... I wanna... Yuck. ; It makes me so... I wanna... Yuck.; ice_age
