[sound:thylego02_001_gang_contratulations.mp4] <br> - [...]! Congratulations on finishing your movie; - Gang! Congratulations on finishing your movie <br> tr: - Ekip tebrikler filmi bitirdiğiniz için; lego2
[sound:thylego02_001_gang_contratulations.mp4] <br> - Gang! Congratulations on [...] your movie; - Gang! Congratulations on finishing your movie <br> tr: - Ekip tebrikler filmi bitirdiğiniz için; lego2
[sound:thylego02_001_gang_contratulations.mp4] <br> - Gang! Congratulations on finishing your [...]; - Gang! Congratulations on finishing your movie <br> tr: - Ekip tebrikler filmi bitirdiğiniz için; lego2
[sound:thylego02_002_the_studio_would_love.mp4] <br> - The studio would love for you to promote it by starring in a flashy [...] safety video; - The studio would love for you to promote it by starring in a flashy airline safety video <br> tr: Stüdyo sizden neşeli bir uçuş güvenliği videosuyla filmi desteklemenizi istiyor.; lego2
[sound:thylego02_003_ooh_yeah.mp4] <br> - Oooh yeah! <br> - We [...] did one of those; - Oooh yeah! <br> - We already did one of those <br> tr: - Yaşasın! <br> - Eee, zaten bir tane yapmıştık.; lego2
[sound:thylego02_004_i_know.mp4] <br> - I [...] but what kind of executive would I be if I didn't greenlight a sequel; - I know but what kind of executive would I be if I didn't greenlight a sequel <br> tr: - Biliyorum fakat eğer bir devam filmine yeşil ışık yakmasam nasıl bir yönetici olurdum?; lego2
[sound:thylego02_005_and_we_are_lucky.mp4] <br> - And we are [...] enough to get the hottest director in town; - And we are lucky enough to get the hottest director in town <br> tr: - Ve şehirdeki en popüler yönetmene sahip olacak kadar şanslıyız.; lego2
[sound:thylego02_005_and_we_are_lucky.mp4] <br> - And we are lucky enough to get the [...] director in town; - And we are lucky enough to get the hottest director in town <br> tr: - Ve şehirdeki en popüler yönetmene sahip olacak kadar şanslıyız.; lego2
[sound:thylego02_006_hello.mp4] <br> - Hello clay, [...] your sculptor; - Hello clay, meet your sculptor <br> tr: Merhaba çamurlar, heykelcinizle tanışın; lego2
[sound:thylego02_007_hey_who_are_your_friends.mp4] <br> - Batman. Hey, who are your [...] over there?; - Batman. Hey, who are your friends over there? <br> tr: - Batman. Hey, şuradaki arkadaşların kimler?; lego2
[sound:thylego02_008_brought_here.mp4] <br> - [...] them here to help execute my vision <br> ; - Brought them here to help execute my vision <br>  <br> tr: - Onları vizyonumu gerçekleştirmeme yardımcı olmaları için getirdim <br> ; lego2
[sound:thylego02_009_camera.mp4] <br> - [...] <br> - Sound <br> - Synthesizer; - Camera <br> - Sound <br> - Synthesizer <br> tr: - Kamera <br> - Ses <br> - Ve klavye; lego2
[sound:thylego02_010_anything.mp4] <br> - I'm not being in [...] directed by him. <br> - We start in Istanbul; - I'm not being in anything directed by him. <br> - We start in Istanbul <br> tr: - Ben onun tarafından yönetilen hiçbir şeyde yokum <br> - İstanbul'da başlıyoruz; lego2
[sound:thylego02_011_ok_guys_lets_roll.mp4] <br> - Ok guys, let's [...]; - Ok guys, let's roll <br> tr: - Ok çocuklar. Başlıyoruz; lego2
[sound:thylego02_012_action.mp4] <br> - [...]! <br> Carefully stow your luggage in the overhead bin; - Action! <br> Carefully stow your luggage in the overhead bin <br> tr: - Aksiyon! <br> - Dikkatlice, bavulunuzu baş üstü dolaplara yerleştirin.; lego2
[sound:thylego02_012_action.mp4] <br> - Action! <br> Carefully stow your [...] in the overhead bin; - Action! <br> Carefully stow your luggage in the overhead bin <br> tr: - Aksiyon! <br> - Dikkatlice, bavulunuzu baş üstü dolaplara yerleştirin.; lego2
[sound:thylego02_013_you_can_also_store.mp4] <br> - You can [...] store it under the seat in front of you; - You can also store it under the seat in front of you <br> tr: - Önünüzdeki koltuğun altına da onu koyabilirsiniz.; lego2
[sound:thylego02_014_dress.mp4] <br> - Ha! Gunter, wardrobe is feeling a [...] drab!; - Ha! Gunter, wardrobe is feeling a little drab! <br> tr: - Gunter, kıyafetler biraz sönük kalmış.; lego2
[sound:thylego02_015_cool_absolutely_not.mp4] <br> - [...] <br> - Absolutely not <br> - Location change; - Cool <br> - Absolutely not <br> - Location change <br> tr: - Cool <br> - Kesinlikle değil <br> - Mekan değişikliği; lego2
[sound:thylego02_016_rome.mp4] <br> - Hey guys! <br> - [...] the seatbelt sign is on, please fasten your seatbelt. <br> - Keep it fastened and visible while seated. <br> - You can release it as shown here when needed. The cabin crew also provides loop belts for infants.; - Hey guys! <br> - When the seatbelt sign is on, please fasten your seatbelt. <br> - Keep it fastened and visible while seated. <br> - You can release it as shown here when needed. The cabin crew also provides loop belts for infants. <br> tr: - Hey çocuklar. <br> - Kemer ışığı yanınca, lütfen kemerlerinizi bağlayın. <br> - Oturduğunuz sürece bağlı ve görünür tutun. <br> - Gerektiğinde gösterildiği şekilde açabilirsiniz. <br> - Kabin ekibi bebekler için kemer sağlar.; lego2
[sound:thylego02_017_superman_pass.mp4] <br> - Superman, [...] it here. <br> - Sorry! That one's on me.; - Superman, pass it here. <br> - Sorry! That one's on me. <br> tr: - Süpermen pas ver <br> - Afedersin, benim hatam.; lego2
[sound:thylego02_018_you_ruined_my_show.mp4] <br> - Aww, you [...] my shot! Go get it!; lego2
[sound:thylego02_019_dont_worry.mp4] <br> - Don't [...], Superman! My jewelry themed powers will keep you safe.; - Don't worry, Superman! My jewelry themed powers will keep you safe. <br> tr: - Of, sahneyi mahvettin! Git onu getir. <br> - Merak etme süpermen. Mücevher güçlerim seni koruyacak.; lego2
[sound:thylego02_020_in_case.mp4] <br> - Uh, what? <br> - Should there be a [...] of pressure in the cabin, oxygen masks will be automatically released from the service unit above your seats.; - Uh, what? <br> - Should there be a loss of pressure in the cabin, oxygen masks will be automatically released from the service unit above your seats. <br> tr: - Aa, ne? <br> - Kabin içinde basınç kaybı olursa, oksijen maskeleri otomatik olarak koltuğunuzun üstündeki kapaklardan çıkar. ; lego2
[sound:thylego02_021_make_sure_your_mask_is_well_adjusted.mp4] <br> - [...] the nearest mask towards you to start the oxygen flow. Make sure your mask is well adjusted before helping others!; - Pull the nearest mask towards you to start the oxygen flow. Make sure your mask is well adjusted before helping others! <br> tr: En yakın maskeyi kendinize çekin, oksijen akışını başlatmak için. <br> - Başkalarına yardım etmeden önce, kendi maskenizi iyi ayarladığınızdan emin olun; lego2
[sound:thylego02_021_make_sure_your_mask_is_well_adjusted.mp4] <br> - Pull the nearest mask towards you to start the oxygen flow. [...] sure your mask is well adjusted before helping others!; - Pull the nearest mask towards you to start the oxygen flow. Make sure your mask is well adjusted before helping others! <br> tr: En yakın maskeyi kendinize çekin, oksijen akışını başlatmak için. <br> - Başkalarına yardım etmeden önce, kendi maskenizi iyi ayarladığınızdan emin olun; lego2
[sound:thylego02_022_lucy_i_cant_see.mp4] <br> - Lucy? I can’t [...] through this thick fog. <br> - I’m right here.; - Lucy? I can’t see through this thick fog. <br> - I’m right here. <br> tr: - Lucy? Bu koyu sisten göremiyorum. <br> - Ben tam buradayım.; lego2
[sound:thylego02_023_clear_the_fog.mp4] <br> - [...] the fog. ; - Clear the fog.  <br> tr: - Sisi temizleyin; lego2
[sound:thylego02_024_smoking_is_strictly_prohibited.mp4] <br> - It is also strictly prohibited to [...] in lavatories which are equipped with smoke detectors. <br> - So don’t even think about it, hermano.; - It is also strictly prohibited to smoke in lavatories which are equipped with smoke detectors. <br> - So don’t even think about it, hermano. <br> - Ayrıca lavabolarda sigara içmek de kesinlikle yasaktır. Duman detektörleri ile donatılmıştır. <br> - Yani, sakın bunu düşünme, hermano.; lego2
[sound:thylego02_025_set_phones_and_all_electronic_devices.mp4] <br> - [...] phones and all electronic devices to flight mode. ; - Set phones and all electronic devices to flight mode.  <br> tr: - Telefon ve tüm elektronik cihazlarınızı uçuş moduna alın; lego2
[sound:thylego02_026_i_said_turn_them_off.mp4] <br> - I [...] turn them off!; - I said turn them off! <br> tr: Onları kapatın dedim.; lego2
[sound:thylego02_027_what_a_beautiful.mp4] <br> - What a [...], untouched seascape.; - What a beautiful, untouched seascape. <br> tr: Ne kadar güzel ve dokunulmamış bir deniz manzarası; lego2
[sound:thylego02_028_bring_the_boat.mp4] <br> - Cue the stunt [...]! <br> - Go stunt boat, go!; - Cue the stunt boat! <br> - Go stunt boat, go! <br> tr: - Gösteri gemisini çağırın <br> - Git gösteri gemisi git; lego2
[sound:thylego02_029_yeah_ahoy.mp4] <br> - Yeah!  Ahoy, stunt [...]!  Ahoy!; - Yeah!  Ahoy, stunt pirates!  Ahoy! <br> tr: - Yaşasın. Ahoy, gösteri korsanları, ahoy; lego2
[sound:thylego02_030_slides.mp4] <br> - [...] doors be fitted with slides...  Which will be operated by the cabin crew in case of an emergency.; - Exit doors be fitted with slides...  Which will be operated by the cabin crew in case of an emergency. <br> tr: Çıkış kapılarında kaydıraklar bulunur... Bunlar acil durumda kabin ekibi tarafından açılacaktır; lego2
[sound:thylego02_031_cut.mp4] <br> - And [...]! <br> - Can I get a lift to the next shot? <br> - Aye laddie!; - And cut! <br> - Can I get a lift to the next shot? <br> - Aye laddie! <br> tr: - Ve kestik <br> - Beni bir sonraki mekana atsana; lego2
[sound:thylego02_032_hong_kong.mp4] <br> - Finally, the thing you’ve been [...] for. Safety, by Batman.; - Finally, the thing you’ve been waiting for. Safety, by Batman. <br> tr: - Nihayet beklediğiniz an geldi: Batman ile Güvenlik talimatları; lego2
[sound:thylego02_033_emergency_exits.mp4] <br> - Emergency exits are [...] on each side of the cabin ; - Emergency exits are located on each side of the cabin  <br> tr: Acil çıkışlar kabinin iki tarafında da bulunur; lego2
