[sound:lego2_0001_good_morning_sewer_babies.mp4] <br> - Good {{c1::morning}} sewer {{c2::babies}}; tr: - Günaydın kanalizasyon bebekleri; lego2
[sound:lego2_0002_this_is_awesome.mp4] <br> - this is {{c1::awesome}}; tr: Bu muhteşem; lego2
[sound:lego2_0003_look_at_the_desk.mp4] <br> - {{c1::Look}} at the {{c2::desk}}; tr: Masaya bakın; lego2
[sound:lego2_0004_ok_team_welcome_to_fox_nfl_sunday.mp4] <br> - Ok, {{c1::team}}. {{c2::Welcome}} to Fox NFL Sunday.; tr: Ok ekip. Fox Pazar NFL programına hoşgeldiniz; lego2
[sound:lego2_0005_lets_talk_football.mp4] <br> - Let's {{c1::talk}} {{c2::football}}; tr: Futbol konuşalım; lego2
[sound:lego2_0006_mvb_most_valuable_batman.mp4] <br> - MVB? <br> - {{c1::Most}}... {{c2::Valuable}}... Batman; tr: - MVB? - En değerli Batman; lego2
[sound:lego2_0007_thats_my_thought.mp4] <br> - That was my {{c1::thought}}. You cannot just {{c2::make up}} your own {{c3::word}}.; tr: - Bu benim düşüncemdi. Kendi kelimelerini öylece üretemezsin.; lego2
[sound:lego2_0008_why_i_think_you_guys.mp4] <br> - {{c1::Why}}? <br> - {{c2::I think}} you {{c3::guys}} need to work this out on the field; tr: - Neden? <br> Gençler bunu sahada çözmeniz gerekiyor sanırım.; lego2
[sound:lego2_0009_go_now.mp4] <br> - {{c1::Go}} now.; tr: Gidin şimdi; lego2
[sound:lego2_0010_ok_lets_address_elephant_in_a_home.mp4] <br> - Ok! Let's {{c1::address}} the elephant in a home.; tr: - Ok! Evdeki fili ele alalım şimdi.; lego2
[sound:lego2_0011_just_out_of_curiosity.mp4] <br> - Out of {{c1::curiosity}}; tr: - Meraktan; lego2
[sound:lego2_0012_why_wouldnt_you_wanna_marry_me.mp4] <br> - {{c1::Why}} wouldn't you {{c2::wanna}} {{c3::marry}} me?; tr: - Neden benimle evlenmek istemezsin?; lego2
[sound:lego2_0013_just_for_curiosity_sake.mp4] <br> - {{c1::Just}}. Psst again. Purely for {{c2::curiosity}} sake.; tr: - Yeniden. Sadece meraktan.; lego2
[sound:lego2_0014_i_dont_go_for_guys_like_you.mp4] <br> - Ow! I don't go for {{c1::guys}} {{c2::like}} you; tr: - Ben senin gibi adamların arkasından gitmem.; lego2
[sound:lego2_0015_what_do_you_mean_guys_like_me.mp4] <br> - {{c1::What}} do you {{c2::mean}} guys like me?; tr: - Benim gibi adamlar derken ne demek istiyorsun?; lego2
[sound:lego2_0016_i_love_holidays.mp4] <br> - {{c1::Man}}, I {{c2::love}} {{c3::holidays}} in Apocalipseburg; tr: - Adamım. Apocalipseburg'deki (Kıyamet şehri) tatilleri seviyorum.; lego2
[sound:lego2_0017_the_weather_is_dusty.mp4] <br> - The {{c1::weather}} is {{c3::dusty}}. And the {{c2::coffee}} tastes extra pumpkin spicy; tr: Hava kumlu. Ve kahve de ekstra bal kabağı baharatı tadında.; lego2
[sound:lego2_0018_this_holiday_season_has_definitely.mp4] <br> - This {{c1::holiday}} {{c2::season}} has definitely; tr: - Bu tatil mevsimi kesinlikle...; lego2
[sound:lego2_0019_descended_into_chaos.mp4] <br> - descended into {{c1::chaos}}; tr: - Kaosa düştü; lego2
[sound:lego2_0020_now_that_if_duplo_savages_destroyed_our_land.mp4] <br> - Now that if {{c2::duplo}} savages {{c1::destroyed}} our {{c3::land}}; tr: - Şimdi eğer bu duplo vahşileri topraklarımızı mahvederse; lego2
[sound:lego2_0021_happy_holidays_sorry_did_i_interrupt.mp4] <br> - Hey Lucy! {{c1::Happy}} Holidays! {{c2::Sorry}}, did I {{c3::interrupt}} your broading sess...; tr: - Hey Lucy. Mutlu tatiller. Özür dilerim eğer yayınını kestiysem; lego2
