[sound:sherlock_yack_01_0020.mp4] -  find out [...] sure look who bashed the  ; find out before sure look who bashed the <br> kangaroo <br>; sherlock_yack_01
[sound:sherlock_yack_01_0022.mp4] -  Oh Sherlock I have a [...] for you  ; Oh Sherlock I have a surprise for you <br> and you'll never guess what it is <br>; sherlock_yack_01
[sound:sherlock_yack_01_0024.mp4] -  and you'll [...] guess what it is  ; and you'll never guess what it is <br> Oh a car well gee how did you know that <br>; sherlock_yack_01
[sound:sherlock_yack_01_0026.mp4] -  Oh a [...] well gee how did you know that  ; Oh a car well gee how did you know that <br> it's right behind you right what do you <br>; sherlock_yack_01
[sound:sherlock_yack_01_0028.mp4] -  it's [...] behind you right what do you  ; it's right behind you right what do you <br> think of it <br>; sherlock_yack_01
[sound:sherlock_yack_01_0030.mp4] -  [...] of it  ; think of it <br> congratulations Hermione this <br>; sherlock_yack_01
[sound:sherlock_yack_01_0032.mp4] -  congratulations Hermione [...]  ; congratulations Hermione this <br> lemon-yellow model is perfect for you no <br>; sherlock_yack_01
[sound:sherlock_yack_01_0034.mp4] -  lemon-yellow model is [...] for you no  ; lemon-yellow model is perfect for you no <br> no Sherlock isn't mine it's a present <br>; sherlock_yack_01
[sound:sherlock_yack_01_0036.mp4] -  no Sherlock [...] mine it's a present  ; no Sherlock isn't mine it's a present <br> for you you will remember your driving <br>; sherlock_yack_01
[sound:sherlock_yack_01_0038.mp4] -  for you you will [...] your driving  ; for you you will remember your driving <br> lessons what do you do when you drive on <br>; sherlock_yack_01
[sound:sherlock_yack_01_0040.mp4] -  lessons [...] do you do when you drive on  ; lessons what do you do when you drive on <br> a suspended bridge over a 20.000 foot <br>; sherlock_yack_01
[sound:sherlock_yack_01_0042.mp4] -  a suspended [...] over a 20.000 foot  ; a suspended bridge over a 20.000 foot <br> press pass uh step on it and emergency <br>; sherlock_yack_01
[sound:sherlock_yack_01_0044.mp4] -  [...] pass uh step on it and emergency  ; press pass uh step on it and emergency <br> lights whoa <br>; sherlock_yack_01
[sound:sherlock_yack_01_0046.mp4] -  [...] whoa  ; lights whoa <br> make a u-turn we're over a precipice <br>; sherlock_yack_01
[sound:sherlock_yack_01_0048.mp4] -  make a [...] we're over a precipice  ; make a u-turn we're over a precipice <br> you'll never get your driver's license <br>; sherlock_yack_01
[sound:sherlock_yack_01_0050.mp4] -  you'll [...] get your driver's license  ; you'll never get your driver's license <br> never know something wrong you've turned <br>; sherlock_yack_01
[sound:sherlock_yack_01_0052.mp4] -  never know [...] wrong you've turned  ; never know something wrong you've turned <br> a little patience nothing I'm just <br>; sherlock_yack_01
[sound:sherlock_yack_01_0054.mp4] -  a [...] patience nothing I'm just  ; a little patience nothing I'm just <br> thrilled about getting such a nice gift <br>; sherlock_yack_01
[sound:sherlock_yack_01_0056.mp4] -  thrilled [...] getting such a nice gift  ; thrilled about getting such a nice gift <br> huh Sherlock yak speaking hmm by all the <br>; sherlock_yack_01
[sound:sherlock_yack_01_0058.mp4] -  huh Sherlock yak [...] hmm by all the  ; huh Sherlock yak speaking hmm by all the <br> trees and all the toes I'm on the go <br>; sherlock_yack_01
[sound:sherlock_yack_01_0060.mp4] -  trees and [...] the toes I'm on the go  ; trees and all the toes I'm on the go <br> kangaroo just broke his hand under <br>; sherlock_yack_01
[sound:sherlock_yack_01_0062.mp4] -  kangaroo just [...] his hand under  ; kangaroo just broke his hand under <br> mysterious circumstances he's waiting <br>; sherlock_yack_01
[sound:sherlock_yack_01_0064.mp4] -  mysterious circumstances [...] waiting  ; mysterious circumstances he's waiting <br> for us at the boxing gym are you ready <br>; sherlock_yack_01
[sound:sherlock_yack_01_0066.mp4] -  [...] us at the boxing gym are you ready  ; for us at the boxing gym are you ready <br> yes but are you <br>; sherlock_yack_01
[sound:sherlock_yack_01_0068.mp4] -  yes [...] are you  ; yes but are you <br> huh oh darn it's not working well that's <br>; sherlock_yack_01
[sound:sherlock_yack_01_0070.mp4] -  huh oh [...] it's not working well that's  ; huh oh darn it's not working well that's <br> alright we'll just go by foot no it's <br>; sherlock_yack_01
[sound:sherlock_yack_01_0072.mp4] -  [...] we'll just go by foot no it's  ; alright we'll just go by foot no it's <br> because you put the key in the USB port <br>; sherlock_yack_01
[sound:sherlock_yack_01_0074.mp4] -  [...] you put the key in the USB port  ; because you put the key in the USB port <br> of the mp3 player um I'm sorry Hermione <br>; sherlock_yack_01
[sound:sherlock_yack_01_0076.mp4] -  of the mp3 [...] um I'm sorry Hermione  ; of the mp3 player um I'm sorry Hermione <br> but I'm not used to these modern cars <br>; sherlock_yack_01
[sound:sherlock_yack_01_0078.mp4] -  but I'm not [...] to these modern cars  ; but I'm not used to these modern cars <br> full of useless gadgets like these <br>; sherlock_yack_01
[sound:sherlock_yack_01_0080.mp4] -  full of [...] gadgets like these  ; full of useless gadgets like these <br> things here on the sides the rear view <br>; sherlock_yack_01
[sound:sherlock_yack_01_0082.mp4] -  things [...] on the sides the rear view  ; things here on the sides the rear view <br> mirrors whatever in any case I think <br>; sherlock_yack_01
[sound:sherlock_yack_01_0084.mp4] -  mirrors [...] in any case I think  ; mirrors whatever in any case I think <br> it's better if you drive that way I can <br>; sherlock_yack_01
[sound:sherlock_yack_01_0086.mp4] -  it's [...] if you drive that way I can  ; it's better if you drive that way I can <br> see how it works <br>; sherlock_yack_01
