[sound:sing_0002.mp4] <br> [...] everyone. ; Places, everyone. <br> Yerlerinize geçin, millet.; sing
[sound:sing_0003.mp4] <br> [...] was it. ; This was it. <br> Bu andı.; sing
[sound:sing_0004.mp4] <br> The moment it [...] began. ; The moment it all began. <br> Her şeyin başladığı an.; sing
[sound:sing_0005.mp4] <br> The [...] an ordinary little guy <br> fell in love with the theater. ; The moment an ordinary little guy <br> fell in love with the theater. <br> Sıradan, küçük bir adamın, tiyatroya <br> âşık olduğu an.; sing
[sound:sing_0006.mp4] <br> [...] about it. ; Everything about it. <br> Tiyatroyla ilgili her şeye.; sing
[sound:sing_0007.mp4] <br> The [...] ; The lights, <br> Işıklara...; sing
[sound:sing_0008.mp4] <br> the [...] the scenery moved, <br> even the smell. ; the way the scenery moved, <br> even the smell. <br> ...sahne dekorlarının <br> hareket etmesine, kokusuna bile.; sing
[sound:sing_0009.mp4] <br> He [...] only six years old, <br> but his plans to become ; He was only six years old, <br> but his plans to become <br> Daha sadece 6 yaşındaydı <br> ama uzaydaki ilk koala...; sing
[sound:sing_0010.mp4] <br> the [...] koala bear in space <br> were suddenly toast. ; the first koala bear in space <br> were suddenly toast. <br> ...olma planları aniden <br> suya düşmüştü.; sing
[sound:sing_0011.mp4] <br> [...] folks may have said he grew <br> up to be the greatest showman ; Some folks may have said he grew <br> up to be the greatest showman <br> NA; sing
[sound:sing_0012.mp4] <br> the [...] has ever seen. ; the city has ever seen. <br> NA; sing
[sound:sing_0013.mp4] <br> [...] called him a visionary, <br> a maverick. ; Some called him a visionary, <br> a maverick. <br> Bazıları da ona biz hayalci, <br> bir başıboş dedi.; sing
[sound:sing_0014.mp4] <br> [...] some folks said he was <br> as crazy as he was stubborn, ; Sure, some folks said he was <br> as crazy as he was stubborn, <br> Tabii, bazıları da keçi gibi <br> inatçı dedi...; sing
[sound:sing_0015.mp4] <br> [...] I say wonder and magic <br> don't come easy, pal. ; but I say wonder and magic <br> don't come easy, pal. <br> ...ama bana sorarsanız, mucize ve <br> sihir öyle kolay kolay gelmez.; sing
[sound:sing_0016.mp4] <br> And, oh, [...] would <br> never be any doubt. ; And, oh, there would <br> never be any doubt. <br> Ve hiç şüphe yoktu ki...; sing
[sound:sing_0017.mp4] <br> The [...] Buster Moon would go <br> down in entertainment history. ; The name Buster Moon would go <br> down in entertainment history. <br> ...Buster Moon adı, eğlence tarihine <br> geçecekti.; sing
[sound:sing_0018.mp4] <br> And I [...] know. ; And I should know. <br> NA; sing
[sound:sing_0019.mp4] <br> [...] I am Buster... ; Because I am Buster... <br> NA; sing
[sound:sing_0020.mp4] <br> - Moon! <br> - [...] this door! ; - Moon! <br> - Open this door! <br> Moon! <br> Aç şu kapıyı!; sing
[sound:sing_0021.mp4] <br> Good [...] Mr. Moon. ; Good morning, Mr. Moon. <br> Günaydın, Bay Moon.; sing
[sound:sing_0022.mp4] <br> [...] Crawly. What, uh... <br> What's going on? ; Miss Crawly. What, uh... <br> What's going on? <br> Bayan Crawly. Ne... <br> Neler oluyor?; sing
[sound:sing_0023.mp4] <br> You [...] a lot of animals <br> waiting to see you, Mr. Moon. ; You got a lot of animals <br> waiting to see you, Mr. Moon. <br> Sizi görmeyi bekleyen bir <br> sürü hayvan var, Bay Moon.; sing
[sound:sing_0024.mp4] <br> I [...] ; I do? <br> Öyle mi?; sing
[sound:sing_0025.mp4] <br> [...] moly, I really do! ; Holy moly, I really do! <br> Vay anasını, gerçekten de var!; sing
[sound:sing_0026.mp4] <br> Yeah, [...] the <br> stage crew from your last show. ; Yeah, it's the <br> stage crew from your last show. <br> Evet, son şovunuzdaki sahne <br> ekibi.; sing
