01	Where	Nerede?	Where is the door?	<img src="where.jpg"> <br> 	[sound:where.mp3]
02	When	Ne zaman?	When did you come here?	<img src="when.jpg"> <br> 	[sound:when.mp3]
03	How	Nasıl?	How can I go to the train station?	<img src="how.jpg"> <br> 	[sound:how.mp3]
04	Which	Hangi?	Which book do you want to read?	<img src="which.jpg"> <br> 	[sound:which.mp3]
05	Who	Kim?	Who is the child in red?	<img src="who.jpg"> <br> 	[sound:who.mp3]
06	Whom	Kime? Kimi?	Whom are you going to visit?	<img src="who.jpg"> <br> 	[sound:whom.mp3]
07	Whose	Hangisinin? Kimin?	Whose card is this?	<img src="whose.jpg"> <br> 	[sound:whose.mp3]
08	How many	Ne kadar? (sayılabilir şeyler)	How many books do you read a month?	<img src="how_many.jpg"> <br> 	[sound:how_many.mp3]
09	How much	Ne kadar? (sayılamayan şeyler)	How much does this cost?	<img src="how_much.jpg"> <br> 	[sound:how_much.mp3]
10	How often	Ne sıklıkta?	How often should I drink water?	<img src="how_often.jpg"> <br> 	[sound:how_often.mp3]
11	How far	Ne uzaklıkta?	How far is it to the airport?	<img src="how_far.jpg"> <br> 	[sound:how_far.mp3]
12	How long	Ne uzunlukta?	How long do I have to stay here?	<img src="how_x.jpg"> <br> 	[sound:how_long.mp3]
13	How old	Ne yaşta? Kaç yaşında?	How old is your grandpa?	<img src="how_x.jpg"> <br> 	[sound:how_old.mp3]
14	What kind	Ne türde?	What kind of music do you like?	<img src="what_kind.jpg"> <br> 	[sound:what_kind.mp3]
15	What time	Ne zaman tam?	What time does the next train leave?	<img src="when.jpg"> <br> 	[sound:what_time.mp3]
16	to reject	reddetmek	She rejected his job offer.	<img src="to_reject.jpg"> <br> 	[sound:to_reject.mp3]
17	except	hariç, dışında	I found nothing to eat except some bread.	<img src="except.jpg"> <br> 	[sound:except.mp3]
18	to keep on	devam etmek, sürdürmek (continue)	Keep on walking until you reach the sea.	<img src="keep_on.jpg"> <br> 	[sound:to_keep_on.mp3]
19	to turn into	dönüşmek, değişmek (change)	A caterpillar will turn into a butterfly.	<img src="turn_into.jpg"> <br> 	[sound:to_turn_into.mp3]
20	to go up	yukarı çıkmak, artmak (increase)	Prices are going up. Everything becomes more expensive.	<img src="go_up.jpg"> <br> 	[sound:to_go_up.mp3]
21	dependent on	bağımlı olmak	Teenagers are too dependent on their mobiles.	<img src="dependent_on.jpg"> <br> 	[sound:dependent_on.mp3]
22	embarrassed about	utanmış olmak (ashamed)	I felt embarrassed about the mistakes I made.	<img src="embarrassed_about"> <br> 	[sound:embarrassed_about.mp3]
23	to criticize	eleştirmek (judge as bad)	I criticize him then he gets angry.	<img src="to_criticize.jpg"> <br> 	[sound:to_criticize.mp3]
24	to boast	böbürlenmek (talking proudly about yourself)	I don't want to be friend with people who like boasting.	<img src="to_boast.jpg"> <br> 	[sound:to_boast.mp3]
