tr1	<img src="afraid.jpg" />	When someone is {{c1::afraid}}, they feel fear.<br />→ &nbsp;The woman was {{c1::afraid}} of what she saw.	afraid	[ə'freɪd]	korkmuş	[sound:afraid.mp3]	sse_4000
tr2	<img src="agree.jpg" />	To {{c1::agree}} is to say “yes” or to think the same way.<br />→ &nbsp;A: The food is very good in that restaurant.&nbsp;<div>&nbsp; &nbsp; &nbsp;B: I {{c1::agree}} with you.</div>	agree	[ə'griː]	anlaşmak	[sound:agree.mp3]	sse_4000
tr3	<img src="angry.jpg" />	When someone is {{c1::angry}}, they may want to speak loudly or fight.<br />→ &nbsp;She didn’t do her homework, so her father is {{c1::angry}}.	angry	['æŋgrɪ]	kızgın	[sound:angry.mp3]	sse_4000
tr4	<img src="arrive.jpg" />	To {{c1::arrive}} is to get to or reach some place.<br />→ &nbsp;The bus always {{c1::arrive}}s at the corner of my street at 4:00.	arrive	[ə'raɪv]	varmak, ulaşmak	[sound:arrive.mp3]	sse_4000
tr5	<img src="attack.jpg" />	To {{c1::attack}} is to try to fight or to hurt.<br />→ &nbsp;The man with the sword {{c1::attack}}ed the other man first.	attack	[ə'tæk]	saldırmak	[sound:attack.mp3]	sse_4000
tr6	<img src="bottom.jpg" />	The {{c1::bottom}} is the lowest part.<br />→ &nbsp;The {{c1::bottom}} of my shoe has a hole in it.	bottom	['bɔtəm]	alt, aşağı	[sound:bottom.mp3]	sse_4000
tr7	<img src="clever.jpg" />	When someone is {{c1::clever}}, they can solve a hard puzzle or problem.<br />→ &nbspThe {{c1::clever}} boy thought of a good idea.	clever	['klevə]	zeki	[sound:clever.mp3]	sse_4000
tr8	<img src="cruel.jpg" />	When someone is {{c1::cruel}}, they do bad things to hurt others.<br />→ &nbspThe {{c1::cruel}} man yelled at his sister.	cruel	['kruːəl], [kruəl]	zalim	[sound:cruel.mp3]	sse_4000
tr9	<img src="finally.jpg" />	If something happens {{c1::finally}}, it happens after a longtime or at the end.<br />→ &nbspHe {{c1::finally}} crossed the finish line after five hours of running.	finally	['faɪn(ə)lɪ]	en sonunda	[sound:finally.mp3]	sse_4000
tr10	<img src="hide.jpg" />	To {{c1::hide}} is to try not to let others see you.<br />→ &nbspThe other children will {{c1::hide}} while you count to 100.	hide	[haɪd]	saklamak	[sound:hide_1397924728875.mp3]	sse_4000
tr11	<img src="hunt.jpg" />	To {{c1::hunt}} is to look for or search for an animal to kill.<br />→ &nbspLong ago, people {{c1::hunt}}ed with bows and arrows.	hunt	[hʌnt]	avlanmak, avlamak, av	[sound:hunt.mp3]	sse_4000
tr12	<img src="lot.jpg" />	A {{c1::lot}} means a large number or amount of people, animals, things, etc.<br />→ &nbspThere are a {{c1::lot}} of apples in the basket.	lot	[lɔt]	çok	[sound:lot.mp3]	sse_4000
tr13	<img src="middle.jpg" />	The {{c1::middle}} of something is the center or halfway point.<br />→ &nbspThe Canadian flag has a maple leaf in the {{c1::middle}} of it.	middle	['mɪdl]	orta	[sound:middle.mp3]	sse_4000
tr14	<img src="moment.jpg" />	A {{c1::moment}} is a second or a very short time.<br />→ &nbspI was only a few {{c1::moment}}s late for the meeting.	moment	['məumənt]	an	[sound:moment.mp3]	sse_4000
tr15	<img src="pleased.jpg" />	When someone is {{c1::pleased}}, they are happy.<br />→ &nbspShe was {{c1::pleased}} with the phone call she received.	pleased	[pliːzd]	memnun	[sound:pleased.mp3]	sse_4000
tr16	<img src="promise.jpg" />	To {{c1::promise}} is to say you will do something for sure.<br />→ &nbsp;He {{c1::promise}}d to return my key by tomorrow.	promise	['prɔmɪs]	söz vermek	[sound:promise.mp3]	sse_4000
tr17	<img src="reply.jpg" />	To {{c1::reply}} is to give an answer or say back to someone.<br />→ &nbsp;She asked him what time his meeting was. He {{c1::replied}}, “at three.”	reply	[rɪ'plaɪ]	cevap vermek	[sound:reply.mp3]	sse_4000
tr18	<img src="safe.jpg" />	When a person is {{c1::safe}}, they are not in danger.<br />→ &nbspPut on your seat belt in the car to be {{c1::safe}}.	safe	[seɪf]	güvenli, güvende	[sound:safe.mp3]	sse_4000
tr19	<img src="trick.jpg" />	A {{c1::trick}} is something you do to fool another person.<br />→ &nbspHis card {{c1::trick}} really surprised us.	trick	[trɪk]	hile	[sound:trick.mp3]	sse_4000
tr20	<img src="well.jpg" />	You use {{c1::well}} to say that something was done in a good way.<br />→ &nbspThe couple can dance quite {{c1::well}}.	well	[wel]	iyi	[sound:well.mp3]	sse_4000
